date,open,high,low,close,volume,timeframe,instrument_type
2025-10-29 09:15:00+05:30,26400.0,26499.0,26350.0,26494.0,7345,15m,FUTURES
2025-10-29 09:30:00+05:30,26494.0,26500.0,26460.0,26470.1,4875,15m,FUTURES
2025-10-29 09:45:00+05:30,26470.1,26485.0,26465.0,26470.1,1690,15m,FUTURES
2025-10-29 10:00:00+05:30,26470.1,26494.0,26470.1,26492.0,2210,15m,FUTURES
2025-10-29 10:15:00+05:30,26492.0,26545.0,26481.0,26545.0,7865,15m,FUTURES
2025-10-29 10:30:00+05:30,26545.0,26581.3,26543.0,26558.9,6435,15m,FUTURES
2025-10-29 10:45:00+05:30,26557.9,26559.5,26540.0,26555.0,5720,15m,FUTURES
2025-10-29 11:00:00+05:30,26555.0,26559.9,26540.0,26546.8,3120,15m,FUTURES
2025-10-29 11:15:00+05:30,26546.8,26567.0,26526.5,26555.0,4615,15m,FUTURES
2025-10-29 11:30:00+05:30,26555.0,26558.0,26544.9,26547.8,1950,15m,FUTURES
2025-10-29 11:45:00+05:30,26547.8,26555.0,26531.0,26532.0,2080,15m,FUTURES
2025-10-29 12:00:00+05:30,26532.0,26559.9,26532.0,26550.5,3575,15m,FUTURES
2025-10-29 12:15:00+05:30,26550.5,26575.0,26550.5,26575.0,3185,15m,FUTURES
2025-10-29 12:30:00+05:30,26575.0,26595.9,26575.0,26595.9,3185,15m,FUTURES
2025-10-29 12:45:00+05:30,26595.9,26602.0,26590.0,26598.6,2860,15m,FUTURES
2025-10-29 13:00:00+05:30,26598.6,26599.0,26585.0,26593.0,1690,15m,FUTURES
2025-10-29 13:15:00+05:30,26593.0,26599.8,26587.6,26597.5,910,15m,FUTURES
2025-10-29 13:30:00+05:30,26597.5,26600.0,26590.0,26590.0,2015,15m,FUTURES
2025-10-29 13:45:00+05:30,26590.0,26592.0,26578.4,26578.4,2340,15m,FUTURES
2025-10-29 14:00:00+05:30,26578.4,26578.4,26550.6,26569.2,1820,15m,FUTURES
2025-10-29 14:15:00+05:30,26569.2,26575.0,26555.0,26558.0,1495,15m,FUTURES
2025-10-29 14:30:00+05:30,26558.0,26565.0,26555.0,26559.0,1690,15m,FUTURES
2025-10-29 14:45:00+05:30,26559.0,26568.9,26541.1,26560.0,2600,15m,FUTURES
2025-10-29 15:00:00+05:30,26560.0,26569.8,26555.5,26557.6,1950,15m,FUTURES
2025-10-29 15:15:00+05:30,26557.6,26595.0,26557.6,26595.0,6045,15m,FUTURES
2025-10-30 09:15:00+05:30,26520.1,26539.9,26470.0,26480.0,13780,15m,FUTURES
2025-10-30 09:30:00+05:30,26480.0,26480.0,26410.2,26411.4,10595,15m,FUTURES
2025-10-30 09:45:00+05:30,26411.4,26425.0,26385.0,26390.1,10920,15m,FUTURES
2025-10-30 10:00:00+05:30,26390.1,26440.3,26390.1,26440.3,4615,15m,FUTURES
2025-10-30 10:15:00+05:30,26440.3,26450.0,26411.8,26440.0,3315,15m,FUTURES
2025-10-30 10:30:00+05:30,26440.0,26440.0,26405.1,26406.4,1300,15m,FUTURES
2025-10-30 10:45:00+05:30,26406.4,26423.7,26405.0,26409.4,1495,15m,FUTURES
2025-10-30 11:00:00+05:30,26409.4,26430.0,26403.1,26430.0,910,15m,FUTURES
2025-10-30 11:15:00+05:30,26430.0,26460.0,26430.0,26455.0,1040,15m,FUTURES
2025-10-30 11:30:00+05:30,26455.0,26455.0,26433.0,26433.0,975,15m,FUTURES
2025-10-30 11:45:00+05:30,26433.0,26438.0,26403.0,26407.6,1820,15m,FUTURES
2025-10-30 12:00:00+05:30,26407.6,26413.6,26401.0,26404.6,1170,15m,FUTURES
2025-10-30 12:15:00+05:30,26404.6,26419.9,26394.2,26419.9,1820,15m,FUTURES
2025-10-30 12:30:00+05:30,26419.9,26419.9,26400.0,26415.4,910,15m,FUTURES
2025-10-30 12:45:00+05:30,26415.4,26421.5,26400.0,26400.0,1105,15m,FUTURES
2025-10-30 13:00:00+05:30,26400.0,26410.0,26394.0,26410.0,975,15m,FUTURES
2025-10-30 13:15:00+05:30,26410.0,26420.0,26390.1,26390.1,1625,15m,FUTURES
2025-10-30 13:30:00+05:30,26390.1,26391.0,26370.0,26386.5,5720,15m,FUTURES
2025-10-30 13:45:00+05:30,26386.5,26404.8,26372.1,26403.1,1820,15m,FUTURES
2025-10-30 14:00:00+05:30,26403.1,26403.1,26381.0,26385.0,2275,15m,FUTURES
2025-10-30 14:15:00+05:30,26385.0,26410.1,26385.0,26410.0,2210,15m,FUTURES
2025-10-30 14:30:00+05:30,26410.0,26411.1,26385.1,26411.1,1365,15m,FUTURES
2025-10-30 14:45:00+05:30,26411.1,26412.3,26367.5,26370.8,3315,15m,FUTURES
2025-10-30 15:00:00+05:30,26370.8,26386.0,26370.8,26383.2,1820,15m,FUTURES
2025-10-30 15:15:00+05:30,26383.2,26398.9,26380.1,26381.6,1885,15m,FUTURES
2025-10-31 09:15:00+05:30,26340.0,26420.0,26325.0,26419.0,7085,15m,FUTURES
2025-10-31 09:30:00+05:30,26419.0,26450.9,26414.0,26420.8,6370,15m,FUTURES
2025-10-31 09:45:00+05:30,26420.8,26438.9,26420.8,26431.2,1430,15m,FUTURES
2025-10-31 10:00:00+05:30,26431.2,26431.2,26372.0,26376.6,4160,15m,FUTURES
2025-10-31 10:15:00+05:30,26376.6,26385.0,26330.0,26344.0,3705,15m,FUTURES
2025-10-31 10:30:00+05:30,26344.0,26344.0,26290.0,26320.1,8450,15m,FUTURES
2025-10-31 10:45:00+05:30,26320.1,26324.4,26293.0,26293.0,1820,15m,FUTURES
2025-10-31 11:00:00+05:30,26293.0,26293.0,26251.0,26271.5,8450,15m,FUTURES
2025-10-31 11:15:00+05:30,26271.5,26290.4,26260.0,26269.9,2145,15m,FUTURES
2025-10-31 11:30:00+05:30,26269.9,26299.0,26260.1,26283.0,1495,15m,FUTURES
2025-10-31 11:45:00+05:30,26283.0,26308.0,26283.0,26307.0,1040,15m,FUTURES
2025-10-31 12:00:00+05:30,26307.0,26320.0,26285.8,26285.8,2210,15m,FUTURES
2025-10-31 12:15:00+05:30,26285.8,26299.9,26267.7,26275.0,2665,15m,FUTURES
2025-10-31 12:30:00+05:30,26275.0,26285.0,26270.0,26285.0,1105,15m,FUTURES
2025-10-31 12:45:00+05:30,26285.0,26293.1,26274.3,26290.0,975,15m,FUTURES
2025-10-31 13:00:00+05:30,26290.0,26299.3,26285.0,26285.0,910,15m,FUTURES
2025-10-31 13:15:00+05:30,26285.0,26298.9,26265.1,26272.8,1170,15m,FUTURES
2025-10-31 13:30:00+05:30,26272.8,26272.8,26251.0,26255.0,3315,15m,FUTURES
2025-10-31 13:45:00+05:30,26255.0,26265.8,26250.0,26265.8,5915,15m,FUTURES
2025-10-31 14:00:00+05:30,26265.8,26280.0,26257.0,26270.0,1365,15m,FUTURES
2025-10-31 14:15:00+05:30,26270.0,26272.9,26250.0,26272.9,2015,15m,FUTURES
2025-10-31 14:30:00+05:30,26272.9,26275.0,26256.0,26267.0,910,15m,FUTURES
2025-10-31 14:45:00+05:30,26267.0,26267.0,26255.1,26255.2,1820,15m,FUTURES
2025-10-31 15:00:00+05:30,26255.2,26260.0,26250.0,26252.0,5850,15m,FUTURES
2025-10-31 15:15:00+05:30,26252.0,26270.0,26252.0,26267.8,6175,15m,FUTURES
2025-11-03 09:15:00+05:30,26249.9,26249.9,26147.1,26176.9,9750,15m,FUTURES
2025-11-03 09:30:00+05:30,26176.9,26224.9,26154.1,26216.6,7150,15m,FUTURES
2025-11-03 09:45:00+05:30,26216.6,26259.5,26216.6,26259.5,5460,15m,FUTURES
2025-11-03 10:00:00+05:30,26259.5,26259.9,26204.5,26214.1,3380,15m,FUTURES
2025-11-03 10:15:00+05:30,26214.1,26225.9,26200.2,26225.9,1365,15m,FUTURES
2025-11-03 10:30:00+05:30,26225.9,26280.0,26224.9,26280.0,4290,15m,FUTURES
2025-11-03 10:45:00+05:30,26280.0,26285.0,26239.2,26246.0,1560,15m,FUTURES
2025-11-03 11:00:00+05:30,26246.0,26272.0,26246.0,26254.0,975,15m,FUTURES
2025-11-03 11:15:00+05:30,26254.0,26264.7,26250.0,26250.0,975,15m,FUTURES
2025-11-03 11:30:00+05:30,26250.0,26262.7,26215.9,26215.9,780,15m,FUTURES
